,City,Lat,Long,Date,Cloudiness,Humidity,Max Temp,Min Temp,Windspeed,Lng
0,hambantota,6.1241, ,1627344650,97,82,79.9,79.9,16.91,81.1185
1,vaini,-21.2, ,1627344631,75,83,78.96,78.96,10.36,-175.2
2,aswan,24.0934, ,1627344651,20,20,86.77,86.77,11.81,32.907
3,nikolskoye,59.7035, ,1627344651,10,71,62.02,60.4,3.56,30.7861
5,victoria,22.2855, ,1627344122,95,84,89.33,86.95,5.99,114.1577
6,rikitea,-23.1203, ,1627344097,74,77,74.64,74.64,18.23,-134.9692
7,ahtopol,42.1, ,1627344652,0,72,68.47,68.47,6.4,27.95
8,qaqortoq,60.7167, ,1627344652,27,80,52.3,52.3,2.95,-46.0333
9,rio grande,-32.035, ,1627344382,100,91,50.95,50.95,17.47,-52.0986
10,hobart,-42.8794, ,1627344522,100,80,56.26,53.92,1.01,147.3294
11,urambo,-5.0667, ,1627344653,7,41,58.06,58.06,5.53,32.05
12,cockburn town,21.4612, ,1627344653,10,84,82.45,82.45,15.35,-71.1419
13,east london,-33.0153, ,1627344654,88,26,63.03,63.03,11.99,27.9116
14,itarema,-2.9248, ,1627344654,19,81,79.16,79.16,18.32,-39.9167
16,busselton,-33.65, ,1627344097,99,61,49.08,49.05,29.51,115.3333
17,baiao,-2.7906, ,1627344654,83,58,81.03,81.03,2.64,-49.6717
18,jamestown,42.097, ,1627344231,1,53,78.12,74.3,5.75,-79.2353
19,kalmunai,7.4167, ,1627344482,99,70,81.09,81.09,1.39,81.8167
20,bilibino,68.0546, ,1627344450,62,46,55.98,55.98,14.25,166.4372
21,kapaa,22.0752, ,1627344095,81,79,87.78,80.19,3,-159.319
22,carutapera,-1.195, ,1627344546,81,93,75.04,75.04,6.35,-46.02
24,plouzane,48.3833, ,1627344390,90,94,61.12,60.85,8.05,-4.6167
26,punta arenas,-53.15, ,1627343951,0,75,42.91,42.12,8.05,-70.9167
27,albany,42.6001, ,1627343860,0,67,76.82,69.48,7.65,-73.9662
28,bredasdorp,-34.5322, ,1627344094,70,59,52.66,52.66,4.85,20.0403
29,hermanus,-34.4187, ,1627344104,23,61,57.9,57.9,7.02,19.2345
30,el tigre,8.8875, ,1627344656,81,79,76.71,76.71,5.59,-64.2454
31,constitucion,-35.3333, ,1627344347,0,67,46.42,46.42,12.8,-72.4167
33,luoyang,34.6836, ,1627344369,2,79,81.07,81.07,4.21,112.4536
34,carnarvon,-24.8667, ,1627344112,9,74,68.52,68.52,19.28,113.6333
35,bambous virieux,-20.3428, ,1627344329,79,77,66.22,66.22,15.19,57.7575
36,fuxin,42.0156, ,1627344657,64,65,82.51,82.51,8.25,121.6589
37,provideniya,64.3833, ,1627344102,90,81,50.11,50.11,6.71,-173.3
38,staraya russa,57.9944, ,1627344657,0,77,60.01,60.01,3.4,31.3608
39,la ronge,55.1001, ,1627344658,26,39,70.56,70.56,2.73,-105.2842
41,seoul,37.5683, ,1627344528,3,52,86.41,84.96,1.72,126.9778
43,aljezur,37.3191, ,1627344658,0,87,63.05,63.05,11.65,-8.8033
46,tres arroyos,-38.3739, ,1627344659,35,56,39.92,39.92,14.63,-60.2798
47,wexford,52.3342, ,1627344659,100,93,61.57,57.52,4.74,-6.4575
48,ushuaia,-54.8, ,1627344095,99,95,33.06,33.06,3.36,-68.3
49,olafsvik,64.8945, ,1627344500,100,85,49.8,49.8,9.37,-23.7142
50,luderitz,-26.6481, ,1627344407,0,63,60.84,60.84,4.83,15.1594
51,whitehorse,60.7161, ,1627344660,100,93,52.02,50.09,10,-135.0538
52,miri,4.4148, ,1627344660,89,83,80.29,80.29,3.96,114.0089
53,spasskoye,44.6108, ,1627344660,77,50,86.54,86.54,5.93,132.7969
54,chokurdakh,70.6333, ,1627344101,97,70,43.27,43.27,12.46,147.9167
